Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
Arsenal,6,5,0,1,14,7,7,15,2.5,11.8,4.9,6.8,1.14,W W W W L,60070,Martin Ødegaard Gabriel Jesus... - 3,Aaron Ramsdale,
Manchester City,6,4,2,0,20,6,14,14,2.33,14.3,3,11.3,1.88,W D W W D,53325,Erling Haaland - 10,Ederson,
Tottenham,6,4,2,0,12,5,7,14,2.33,10,5.5,4.5,0.75,D W W D W,61557,Harry Kane - 5,Hugo Lloris,
Brighton,6,4,1,1,11,5,6,13,2.17,10.2,7.1,3.1,0.52,D W W L W,31230,Alexis Mac Allister - 4,Robert Sánchez,
Manchester Utd,6,4,0,2,8,8,0,12,2,8.1,8.4,-0.3,-0.04,L W W W W,73763,Marcus Rashford - 3,David de Gea,
Fulham,7,3,2,2,12,11,1,11,1.57,8.7,12,-3.3,-0.47,W L W L W,22076,Aleksandar Mitrović - 6,Bernd Leno,
Chelsea,6,3,1,2,8,9,-1,10,1.67,7.6,6.9,0.7,0.11,D L W L W,39941,Raheem Sterling - 3,Edouard Mendy,
Liverpool,6,2,3,1,15,6,9,9,1.5,12.2,6.7,5.5,0.92,D L W W D,53205,Luis Díaz Roberto Firmino - 3,Alisson,
Brentford,6,2,3,1,15,9,6,9,1.5,10.2,7.7,2.5,0.41,W L D D W,17051,Ivan Toney - 5,David Raya,
Leeds United,6,2,2,2,10,10,0,8,1.33,9.4,8.3,1.2,0.2,D W L D L,36352,Rodrigo - 4,Illan Meslier,
Newcastle Utd,6,1,4,1,7,6,1,7,1.17,9.4,7.5,1.9,0.31,D D D L D,52122,Callum Wilson - 2,Nick Pope,
Southampton,7,2,1,4,7,11,-4,7,1,6.1,7.6,-1.5,-0.21,W L W L L,31184,Che Adams - 2,Gavin Bazunu,
Aston Villa,7,2,1,4,6,10,-4,7,1,5.3,10,-4.7,-0.67,L L L D W,41567,Ollie Watkins Leon Bailey... - 1,Emiliano Martínez,
Bournemouth,6,2,1,3,5,18,-13,7,1.17,2.7,10.3,-7.5,-1.26,L L L D W,10516,Jefferson Lerma Dominic Solanke... - 1,Mark Travers,
Wolves,6,1,3,2,3,4,-1,6,1,5.7,6.9,-1.2,-0.19,D L D D W,31012,Daniel Podence - 2,José Sá,
Crystal Palace,6,1,3,2,7,9,-2,6,1,7.8,10.4,-2.6,-0.43,D W L D D,24114,Wilfried Zaha - 4,Vicente Guaita,
Everton,6,0,4,2,4,6,-2,4,0.67,7.2,10.7,-3.5,-0.58,L D D D D,39255,Anthony Gordon - 2,Jordan Pickford,
West Ham,6,1,1,4,3,8,-5,4,0.67,5.5,7.3,-1.8,-0.3,L L W D L,62447,Pablo Fornals Tomáš Souček... - 1,Łukasz Fabiański,
Nott'ham Forest,7,1,1,5,6,17,-11,4,0.57,6.9,14.5,-7.6,-1.09,D L L L L,28988,Brennan Johnson Taiwo Awoniyi - 2,Dean Henderson,
Leicester City,6,0,1,5,8,16,-8,1,0.17,5.5,9.1,-3.6,-0.6,L L L L L,31623,James Maddison - 2,Danny Ward,
